IDDIST,poverty rate,extreme poverty rate,absolute poverty,absolute extreme poverty
070101,10.58000685633297,0.0,51465.0,0.0
070102,3.5584962237210376,1.00525759432589,1961.0,554.0
070103,9.063425062318272,0.0,4345.0,0.0
070104,4.5667066682546595,0.0,2296.0,0.0
070105,0.0,0.0,0.0,0.0
070106,21.509117654831513,0.8350707421968426,78653.0,3054.0
070107,27.32019096258255,0.0,10176.0,0.0
150101,5.98740944628808,0.5635000597387282,34422.0,3240.0
150102,12.842511657777298,0.0,5708.0,0.0
150103,14.761293585570574,0.6723469218795747,89827.0,4091.0
150104,0.0,0.0,0.0,0.0
150105,5.816668062750688,0.0,8864.0,0.0
150106,15.4662000440763,0.45027611643941484,52804.0,1537.0
150107,4.325770190214199,0.0,2195.0,0.0
150108,10.064259395742727,0.0,33507.0,0.0
150109,9.526176427166037,0.0,2415.0,0.0
150110,10.592621668342172,0.0,43007.0,0.0
150111,14.723518819024944,2.6129537531875693,21270.0,3775.0
150112,13.269082359498933,0.0,16774.0,0.0
150113,0.0,0.0,0.0,0.0
150114,1.645948064108373,0.0,902.0,0.0
150115,11.075372506863603,0.0,48815.0,0.0
150116,0.0,0.0,0.0,0.0
150117,5.4330642582712345,0.0,17190.0,0.0
150118,20.337462791243375,0.0,53550.0,0.0
150119,16.48226070119057,0.0,25719.0,0.0
150120,0.8598117679759886,0.0,649.0,0.0
150121,2.0552293259761627,0.0,2653.0,0.0
150122,6.090601950335837,0.0,8928.0,0.0
150123,9.732517100246692,0.0,10171.0,0.0
150124,22.815078689894047,0.0,7541.0,0.0
150125,20.980447161543303,1.2118074058991406,66364.0,3833.0
150126,27.937326564822058,1.344362221512911,10234.0,492.0
150128,10.59259193624948,0.0,34020.0,0.0
150129,0.0,0.0,0.0,0.0
150130,0.0,0.0,0.0,0.0
150131,0.0,0.0,0.0,0.0
150132,15.990950850841298,0.7456007966484032,168064.0,7836.0
150133,21.864305823380487,0.0,76888.0,0.0
150134,17.923203442641526,0.0,7020.0,0.0
150135,10.48550453190883,0.0,56930.0,0.0
150136,1.7627971727806977,0.0,3200.0,0.0
150137,4.2999910372220045,0.0,5511.0,0.0
150139,33.36143808108973,0.0,7358.0,0.0
150140,4.1187940039873,0.0,10511.0,0.0
150141,3.4222720473905732,0.0,4257.0,0.0
150142,24.748671463208343,0.9260914230499107,126300.0,4726.0
150143,16.705525592419736,0.7233569536265653,73871.0,3199.0
